question,answer,topic
What is organic farming?,Organic farming avoids synthetic chemicals and relies on natural inputs.,Organic Farming
What causes powdery mildew?,powdery mildew is commonly caused by fungal or viral pathogens under humid conditions.,Diseases
How often should crops be irrigated?,"Irrigation frequency depends on crop type, soil, and climate conditions.",Irrigation
Best fertilizer for carrot?,carrot benefits from balanced NPK fertilizer applied at recommended stages.,Fertilizers
Best irrigation method?,Drip irrigation is efficient as it saves water and delivers moisture directly to roots.,Irrigation
Benefits of organic farming?,"It improves soil health, biodiversity, and reduces chemical residues.",Organic Farming
How to treat rust in plants?,rust can be managed using recommended fungicides and proper field sanitation.,Diseases
Best season to grow wheat?,wheat grows best during rabi season under well-drained soil conditions.,Crops
What is organic farming?,Organic farming avoids synthetic chemicals and relies on natural inputs.,Organic Farming
How to improve soil fertility?,"Soil fertility can be improved by adding compost, green manure, and crop rotation.",Soil
Best season to grow chilli?,chilli grows best during kharif season under well-drained soil conditions.,Crops
Best season to grow carrot?,carrot grows best during kharif season under well-drained soil conditions.,Crops
How to control aphids?,aphids can be controlled using integrated pest management practices.,Pests
How often should crops be irrigated?,"Irrigation frequency depends on crop type, soil, and climate conditions.",Irrigation
How to treat blight in plants?,blight can be managed using recommended fungicides and proper field sanitation.,Diseases
Best fertilizer for potato?,potato benefits from balanced NPK fertilizer applied at recommended stages.,Fertilizers
Signs of borers infestation?,"Common signs include leaf damage, discoloration, and reduced plant vigor.",Pests
How to improve soil fertility?,"Soil fertility can be improved by adding compost, green manure, and crop rotation.",Soil
Best season to grow chilli?,chilli grows best during summer season under well-drained soil conditions.,Crops
Benefits of organic farming?,"It improves soil health, biodiversity, and reduces chemical residues.",Organic Farming
How often should crops be irrigated?,"Irrigation frequency depends on crop type, soil, and climate conditions.",Irrigation
Signs of thrips infestation?,"Common signs include leaf damage, discoloration, and reduced plant vigor.",Pests
How often should crops be irrigated?,"Irrigation frequency depends on crop type, soil, and climate conditions.",Irrigation
Best irrigation method?,Drip irrigation is efficient as it saves water and delivers moisture directly to roots.,Irrigation
Why is soil pH important?,Soil pH affects nutrient availability and overall plant growth.,Soil
How often should crops be irrigated?,"Irrigation frequency depends on crop type, soil, and climate conditions.",Irrigation
What causes powdery mildew?,powdery mildew is commonly caused by fungal or viral pathogens under humid conditions.,Diseases
