state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,commodity_ml,commodity_ta,commodity_te,commodity_kn,commodity_hi
Andaman and Nicobar,South Andaman,Port Blair,Amaranthus,Amaranthus,04/03/2019,6000,8000,7000.0,Amaranthus,Amaranthus,Amaranthus,Amaranthus,Amaranthus
Andaman and Nicobar,South Andaman,Port Blair,Banana - Green,Banana - Green,04/03/2019,4500,5500,5000.0,Banana - Green,Banana - Green,Banana - Green,Banana - Green,Banana - Green
Andaman and Nicobar,South Andaman,Port Blair,Bhindi(Ladies Finger),Bhindi,04/03/2019,6000,8000,7000.0,Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger),Bhindi(Ladies Finger)
Andaman and Nicobar,South Andaman,Port Blair,Bitter gourd,Other,04/03/2019,6000,8000,7000.0,Bitter gourd,Bitter gourd,Bitter gourd,Bitter gourd,Bitter gourd
Andaman and Nicobar,South Andaman,Port Blair,Black pepper,Other,04/03/2019,110000,130000,120000.0,Black pepper,Black pepper,Black pepper,Black pepper,Black pepper
Andaman and Nicobar,South Andaman,Port Blair,Bottle gourd,Other,04/03/2019,3000,4000,3500.0,Bottle gourd,Bottle gourd,Bottle gourd,Bottle gourd,Bottle gourd
Andaman and Nicobar,South Andaman,Port Blair,Brinjal,Other,04/03/2019,7000,8000,7500.0,Brinjal,Brinjal,Brinjal,Brinjal,Brinjal
Andaman and Nicobar,South Andaman,Port Blair,Cabbage,Other,04/03/2019,6000,7000,6500.0,Cabbage,Cabbage,Cabbage,Cabbage,Cabbage
Andaman and Nicobar,South Andaman,Port Blair,Carrot,Other,04/03/2019,9000,11000,10000.0,Carrot,Carrot,Carrot,Carrot,Carrot
Andaman and Nicobar,South Andaman,Port Blair,Cauliflower,Other,04/03/2019,10000,12000,11000.0,Cauliflower,Cauliflower,Cauliflower,Cauliflower,Cauliflower
Andaman and Nicobar,South Andaman,Port Blair,Cluster beans,Cluster Beans,04/03/2019,8000,10000,9000.0,Cluster beans,Cluster beans,Cluster beans,Cluster beans,Cluster beans
Andaman and Nicobar,South Andaman,Port Blair,Coconut,Big,04/03/2019,5400,6000,5600.0,Coconut,Coconut,Coconut,Coconut,Coconut
Andaman and Nicobar,South Andaman,Port Blair,Colacasia,Other,04/03/2019,5000,7000,6000.0,Colacasia,Colacasia,Colacasia,Colacasia,Colacasia
Andaman and Nicobar,South Andaman,Port Blair,Onion,Other,04/03/2019,2000,3500,3000.0,Onion,Onion,Onion,Onion,Onion
Andaman and Nicobar,South Andaman,Port Blair,Potato,Other,04/03/2019,2000,3500,3000.0,Potato,Potato,Potato,Potato,Potato
Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,04/03/2019,400,960,620.0,Tomato,Tomato,Tomato,Tomato,Tomato
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,04/03/2019,200,500,300.0,Tomato,Tomato,Tomato,Tomato,Tomato
Andhra Pradesh,Chittor,Vayalapadu,Tomato,Local,04/03/2019,400,1120,760.0,Tomato,Tomato,Tomato,Tomato,Tomato
Andhra Pradesh,Kurnool,Banaganapalli,Bengal Gram(Gram)(Whole),Desi (Whole),04/03/2019,4500,4700,4600.0,Bengal Gram(Gram)(Whole),Bengal Gram(Gram)(Whole),Bengal Gram(Gram)(Whole),Bengal Gram(Gram)(Whole),Bengal Gram(Gram)(Whole)
Andhra Pradesh,Kurnool,Banaganapalli,Jowar(Sorghum),Jowar ( White),04/03/2019,1800,1950,1900.0,Jowar(Sorghum),Jowar(Sorghum),Jowar(Sorghum),Jowar(Sorghum),Jowar(Sorghum)
Andhra Pradesh,Kurnool,Banaganapalli,Paddy(Dhan)(Common),Sona Mahsuri,04/03/2019,1900,2000,1950.0,Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common)
Andhra Pradesh,West Godavari,Attili,Paddy(Dhan)(Common),Paddy,04/03/2019,1750,1770,1760.0,Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common),Paddy(Dhan)(Common)
Assam,Cachar,Cachar,Lentil (Masur)(Whole),Masur Dal,04/03/2019,5200,7200,7000.0,Lentil (Masur)(Whole),Lentil (Masur)(Whole),Lentil (Masur)(Whole),Lentil (Masur)(Whole),Lentil (Masur)(Whole)
Assam,Cachar,Cachar,Rice,Common,04/03/2019,2200,2500,2400.0,Rice,Rice,Rice,Rice,Rice
Assam,Cachar,Cachar,Rice,Fine,04/03/2019,2500,3000,2800.0,Rice,Rice,Rice,Rice,Rice
